capture_date,competitor,product_name,product_type,bottle_count,total_price,price_per_bottle,purchase_type,subscription_frequency,prepaid_terms,variant_options,currency,availability,source_url,notes
2026-07-20T22:29:29.261Z,Soda Pop Online,There was a problem loading this website,quantity unknown,,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/pringles-sour-cream-onion,Bottle count could not be determined automatically.
2026-07-20T22:29:32.188Z,Soda Pop Online,Pringles Original,quantity unknown,,2.99,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/pringles-original,Bottle count could not be determined automatically.
2026-07-20T22:29:35.353Z,Soda Pop Online,Perrier Pink Grapefruit 750ml,12-pack,12,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/perrier-pink-grapefruit-750ml,
2026-07-20T22:29:38.382Z,Soda Pop Online,Zico Coconut Water 1 Liter,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/zico-coconut-water-1-liter,
2026-07-20T22:29:41.398Z,Soda Pop Online,Zico Coconut Chocolate 1 Liter,12-pack,12,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/zico-coconut-chocolate-1-liter,
2026-07-20T22:29:44.517Z,Soda Pop Online,JackLink's Original 3.25oz,quantity unknown,,7.99,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/jacklinks-original-3-25oz,Bottle count could not be determined automatically.
2026-07-20T22:29:47.546Z,Soda Pop Online,Yoo Hoo Chocolate 15.5oz,6-pack,6,1.99,0.33,one-time,,,Extra Berry Single; Extra Berry 12 Pack,USD,,https://www.sodapoponline.com/collections/all/products/yoo-hoo-chocolate-15-5oz,
2026-07-20T22:29:50.616Z,Soda Pop Online,Martinelli Sparkling Apple10oz,12-pack,12,1.99,0.17,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/martinelli-sparkling-apple10oz,
2026-07-20T22:29:53.926Z,Soda Pop Online,David Original Sunflower Seeds,2-pack,2,1.79,0.9,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/david-original-sunflower-seeds,
2026-07-20T22:29:56.981Z,Soda Pop Online,David Pumpkin Seeds 5oz,variety pack - quantity unknown,,3.69,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/david-pumpkin-seeds-5oz,Bottle count could not be determined automatically.
2026-07-20T22:30:00.098Z,Soda Pop Online,JackLink's Cholula Hot Jerky,quantity unknown,,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/jacklinks-cholula-hot-jerky,Bottle count could not be determined automatically.
2026-07-20T22:30:03.247Z,Soda Pop Online,JackLink's Nuggets Original,quantity unknown,,7.99,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/jacklinks-nuggets-original,Bottle count could not be determined automatically.
2026-07-20T22:30:06.649Z,Soda Pop Online,JackLink's Smokehouse Original,24-pack,24,7.99,0.33,one-time,,,24 Count Box Astro Pop; 1 Single Astro Pop,USD,,https://www.sodapoponline.com/collections/all/products/copy-of-jacklinks-teriyaki-beef-jerky017082700100,
2026-07-20T22:30:09.888Z,Soda Pop Online,JackLink's Teriyaki Beef Jerky,quantity unknown,,7.99,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/jacklinks-teriyaki-beef-jerky,Bottle count could not be determined automatically.
2026-07-20T22:30:14.256Z,Soda Pop Online,JackLink's Nuggets Teriyaki,quantity unknown,,7.99,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/jacklinks-nuggets-teriyaki,Bottle count could not be determined automatically.
2026-07-20T22:30:16.273Z,Soda Pop Online,There was a problem loading this website,quantity unknown,,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/jacklinks-peppered-3-25oz,Bottle count could not be determined automatically.
